Station,Show,Snippet
BBCNEWS,Weather World,main driver greenhous ga emiss produc still reliant fossil fuel like coal global level carbon dioxid record high weve got reduc emiss greenhous gase
BBCNEWS,World News Today,report russian interfer elect climat chang activist across europ step protest say govern inact global warm
BBCNEWS,BBC News at Six,simpli congreg elsewher amol rajan bbc news climat chang activist say plan expand protest central london heathrow airport tomorrow easter getaway begin extinct rebellion call govern reduc uk greenhous ga emiss
BBCNEWS,The Briefing,let look layer demonstr level contain methan potent greenhous ga methan time power greenhous ga
BBCNEWS,Newsday,problem need tobe earlier told global warm problem need tobe address decad ago definit behind curv climat chang issu especi arctic ocean basic ground zero climat chang
BBCNEWS,BBC News at One,like rest sweden eskilstu na commit send zero wast citizen landfil wast recycl inciner local plant gener electr reduc relianc fossil fuel creat greenhous gase
BBCNEWS,Newsday,want us think impact global warm world habitat earlier told global warm
BBCNEWS,BBC Newsroom Live,pressur govern stop global warm
BBCNEWS,Beyond 100 Days,could done climat chang activist occupi site across central london fourth day row extinct rebellion call govern reduc uk greenhous ga emiss zero documentari due broadcast tonight sir david attenborough say climat
BBCNEWS,Beyond 100 Days,introduc sort carbon tax unit state would get bipartisan support difficult issu introduc bipartisan carbon tax bill
BBCNEWS,BBC News,eco activ give climat chang attent bring action give climat chang attent campaign want greenhous
BBCNEWS,Newsday,netflix seri produc partnership wwf silverback film want us think impact global warm world habitat peter winsor director wwf arctic programm earlier told global warm ia
BBCNEWS,Weather World,blue area forecast next five year suggest warm trend continu small chanc temperatur could temporarili exceed degre main driver greenhous ga
BBCNEWS,Weather World,greenhous ga emiss produc still reliant fossil fuel like coal global level carbon dioxid record high weve got reduc emiss greenhous gase weve got reduc
BBCNEWS,BBC News,pollut climat chang greenhous ga emiss go affect us whether smell whether make us sick immedi go affect greenhous ga emiss whether notic come back climat chang come back climat chang ijust want come back climat chang want come back climat chang ijust want pick climat chang ijust want pick tree point think tree good thing
BBCNEWS,BBC Business Live,royal caribbean cruis told bbc compani cut greenhous ga emiss one thing want make sure reduc greenhous gase much possibl use bubbl technolog liter blow teeni littl
BBCNEWS,BBC News,arrest seven day climat chang protest
BBCNEWS,The Week in Parliament,greta thunberg urg uk politician listen scientist climat chang swedish teenag inspir school climat chang movement met mp parti leader theresa may meanwhil extinct rebellion continu climat chang
BBCNEWS,Weather World,show actual temperatur record there close match last four year hottest record blue area forecast next five year suggest warm trend continu small chanc temperatur could temporarili exceed degre main driver greenhous ga
BBCNEWS,Afternoon Live,climat chang sarah walton report mani yearold could hold attent polit leader today greta thunberg took messag climat chang activ
BBCNEWS,BBC News at Nine,assess possibl solut climat chang nine oclock even bbc one chri stark chief execut committe climat chang
BBCNEWS,Beyond 100 Days,rebellion extinct rebellion lead anoth day disrupt attempt forc urgent action climat chang new wave eco activ give climat chang
