Station,Show,Snippet
FOXNEWS,FOX and Friends,former governor maryland say terror group created global warming one thing effect climate change
FOXNEWS,The OReilly Factor,coast nova scotia pretend iceland called vanilla iceland also miller back vacation wondering martin malley say isi caused global warming
FOXNEWS,The OReilly Factor,coast nova scotia pretend iceland called vanilla iceland also miller back vacation wondering martin malley say isi caused global warming
FOXNEWS,Red Eye,new york coming favorite time day half time first happened day history day year 2 109 global warming lead
FOXNEWS,Special Report With Bret Baier,earlier year president obama declared proclaimed greatest threat future generation global warming climate change well mr president respectfully disagree
FOXNEWS,Hannity,global warming speech climate change speech give pretty amazing first time liberal hypocrite caught al gore getting private jet san francisco lecturing u
FOXNEWS,The Five,psychological capacity say let get done know military strong willing able life def freedom liberty nonetheless people concerned administration state department climate change
FOXNEWS,Bulls and Bears,bass pro shop like bass pro original logo tee 10 save 20 select redhead men short save 15 xps stalker tackle backpack coming solving global
FOXNEWS,Hannity,real rare steak blood come thank coming touch hillary clinton reportedly getting 600 hair cut shutting department store get give speech global
FOXNEWS,Hannity,right climate change right speech climate change different candidate republican side trip
FOXNEWS,Cashin In,really destructive really would sooner blame climate change real endangered philosophy militant islam blame weather climate change anything else
FOXNEWS,Bulls and Bears,going ahead global warming regulation supreme court told cool
FOXNEWS,The Five,biggest threat biggest threat president obama climate change say climate change number one putin iran north korea love dismantling world playing hacky sack
FOXNEWS,The Real Story With Gretchen Carlson,climate change video shot america rising pac speech climate change de moines flying natural went today 19 seat private jet lot candidate use
FOXNEWS,Fox and Friends First,hour unveiling new plan solve global warming 19 seat jet burn 150 gallon fuel per hour
FOXNEWS,FOX  Friends,quick headline hillary clinton spotted boarding private jet hour unveiling new plan solve global warming aggressive carbon reducing
FOXNEWS,The Five,threat believe biggest threat president obama climate change say climate change number one putin iran north korea love dismantleing world playing hack sack bill nye science
FOXNEWS,Bulls and Bears,warming one bite fighting global warming fridge democratic congresswoman nita lowey tweeting pushing leftover back refrigerator economic environmental
FOXNEWS,Red Eye With Tom Shillue,nothing worse environment water theft except flying private jet lecture people global warming would brilliantly
FOXNEWS,The OReilly Factor,state absolutely beautiful scandinavia mellow people come house summer happy global warming hit six month night stay
FOXNEWS,The OReilly Factor,state absolutely beautiful scandinavia mellow people come house summer happy global warming hit six month night stay
FOXNEWS,The OReilly Factor,aheads factor move along evening democratic potential contender martin malley saying isi called global warming course dennis miller weigh martha maccallum disagreement republican presidential
FOXNEWS,The Five,let u know juan want mention eric ten people bitten south carolina north carolina six bitten june global warming last year going
FOXNEWS,Fox and Friends First,trail take global warming take something far renewable jaw dropping detail huge private jet proof treasure stay hidden forever great story diver
FOXNEWS,Cashin In,shouting outspoken wonderful cheerleader wonder tommy would feel martin malley blaming global warming rise isi said one thing
FOXNEWS,Special Report With Bret Baier,committee tomorrow people notice thing like candidate delivering speech imploring save planet global warming said candidate fly around private gas guzzling jet story reaction next grapevine
FOXNEWS,Red Eye,like make paper dance really dancing actor make video supporting iran deal kt said worry global warming nuclear winter may good idea helpful
FOXNEWS,The OReilly Factor,stepped think global warming effective tool war terror 120 degree nut town begin go 20 degree conscious ford
FOXNEWS,Outnumbered,fema fund red state governor believe global warming whole thing charade could today want president want sanctuary city want sank wear country
FOXNEWS,Red Eye With Tom Shillue,actor talking like expert global warming played scientist movie another politician say sing mean even politician russia sing ronald reagan
FOXNEWS,The Five,comment global warming environment guess promptly boarded desalt model falcon 900 b burn 347 gallon fuel per hour like business jet hillary made france speaking hillary
FOXNEWS,Red Eye,worry global warming maybe nuclear winter advantage believe got valerie plame video publicity shy big spy know think outed
FOXNEWS,The OReilly Factor,well big fine john stossel everybody plenty aheads factor move along evening democratic potential contender martin malley saying isi called global warming course dennis miller weigh
FOXNEWS,The OReilly Factor,crazy fact machine stepped think global warming effective tool war terror 120 degree nut town begin go 20 degree conscious ford
