Station,Show,Snippet
FOXNEWS,Outnumbered,energy energy energy independence economic issue way defense blocking keystone pipeline global warming kidding actually reduce greenhouse gas insane
FOXNEWS,FOX and Friends Sunday,generation kind world going give pressure climate change huge pressure global warming
FOXNEWS,Hannity,new report army charge bowe bergdahl desertion could connected climate change liberal mainstream medium us winter storm juneau tout global warming agenda
FOXNEWS,Stossel,talk might go wrong talk might go right john one example hysteria fossil fuel global warming destroying planet think globe may warming maybe partly man climate change
FOXNEWS,The Five,believe man made global warming real causing slight increase temperature 0 02 degree may wrong way think warmists say man made global warming real
FOXNEWS,Stossel,reservation 90 billion coal coal produce lot greenhouse gas worry global warming problem might
FOXNEWS,FOX and Friends Saturday,put end greenhouse gas lecture global warming straight elsa let go let go hold back anymore one state department
FOXNEWS,Hannity,magazine said next ice age coming became global warming climate change snow global warming climate change hurricane hurricane
FOXNEWS,Hannity,magazine said next ice age coming became global warming climate change snow global warming climate change hurricane hurricane
FOXNEWS,The Kelly File,climate change liberal mainstream medium us winter storm juneau tout global warming agenda wr
FOXNEWS,The Five,pose greater threat future generation climate change challenge challenge pose greater threat future generation climate change
FOXNEWS,Hannity,sniper later warning said would worst blizzard ever liberal use worst storm push global warming agenda
FOXNEWS,FOX and Friends First,flying could cost whole lot case hypocrisy worst 17 00 1700 private jet coming talk global warming
FOXNEWS,The OReilly Factor,china china amount coal use right production idiot come shut moron global warming
FOXNEWS,Hannity,little doubt severe weather event becoming frequent united state many scientist think direct link severe weather climate change oh boy snow climate change ice age coming global
FOXNEWS,Special Report With Bret Baier,totally inconsistent fight scenario avoiding catastrophic climate change
FOXNEWS,The OReilly Factor,tip day abbreviated watters world big snow missed new york city watters little snow asking folk global warming involved
FOXNEWS,The Five,wonder challenge pose greater threat future generation climate change challenge challenge pose greater threat future generation climate change
FOXNEWS,Justice With Judge Jeanine,coco let ask question really think greatest threat climate change talking going outer space mean always thought mar climate change thought people looking yes climate change
