Station,Show,Snippet
CNN,CNN Newsroom,acknowledged problem agreed investigate work rule road believe work together rather cross purpose climate change first time china agreed work u limit production greenhouse gas
CNN,CNN Newsroom,president giving georgetown going announce seems touching project saying approved nut net greenhouse gas would
CNN,EarlyStart,latest environmental plan georgetown university unveil idea reduce carbon pollution prepare country impact climate change going issue executive order restricting greenhouse
CNN,State of the Union,reach household exhand beingpand access f live power grid support clean energy combat climate change curree
CNN,CNN Saturday Morning,believe work together rather across climate change first time china agreed work u limit production greenhouse gas president obama gave chinese leader parting gift
CNN,Weekend Early Start,investigate work rule road believe work together rather cross purpose reporter climate change first time china agreed work u limit production greenhouse gas president obama gave chinese
CNN,CNN Newsroom,exploring space scientist studying change taking place earth atmosphere scientist known since 1800s greenhouse gas like carbon dioxide trap heat
CNN,State of the Union,agreed keep pressure north korea nuclear program work together prevent cyber attack limit production greenhouse gas thank watching state union
CNN,CNN Newsroom,greenhouse gas determination made environmental official news going hearing speech lot people looking speech
CNN,The Situation Room,jay carney talked health care implementation tomorrow president plan unveil huge climate change effort combat climate change white house pushing ahead domestic agenda
CNN,The Lead With Jake Tapper,blockbuster movie avitar take issue climate change president gore called speech best speech climate change ever know lot member public
CNN,The Situation Room,chinese russian president would opened speech climate change said independent going talk climate change moment first want say direct appeal russia sended
CNN,The Situation Room,climate change say bad sandy future storm could worse due rising temperature sea level climate change political hot button issue year new york city police hunt man seen surveillance tape inside
CNN,New Day,georgetown university announce strategy aimed lowering carbon pollution country heart plan new rule limit greenhouse gas emission one nation biggest offender power plant high school senior miss graduation break
CNN,CNN Newsroom,understanding need cleanse politics capacity deal complexity see connection u global warming tornado
CNN,EarlyStart,checking possible damage five spot morning mayor bloomberg rolling plan protect city global warming calling 15 20 foot
CNN,Weekend Early Start,north would global warming type environment wind decrease research suggests warming climate perhaps thunderstorm day fewer day tornado biggest concern
CNN,CNN Newsroom,question thanks much president united state speaking georgetown university washington c climate change let listen little sexy
CNN,CNN Newsroom,analyst looking quite positive agreement climate change agreement china u thing keep mind
CNN,CNN Newsroom,north korea climate change much accomplished cnn chief white house correspondent jessica yellin palm spring california president obama chinese president wrapped
CNN,Erin Burnett OutFront,waking becoming part global phenomenon call internet everything tree talk network talk scientist climate change car talk road sensor
CNN,CNN Newsroom,lost home lost business hundred billion dollar emergency dollar disaster relief fact already feeling effect climate change time deny
CNN,CNN Newsroom,smallest size record model predicted would fact know single weather event caused solely climate change drought fire flood go
CNN,Weekend Early Start,parted way southern california met range pressing issue among north korea cyber attack climate change jessica yellin informal meeting unusual
CNN,CNN Newsroom,speech obama second inaugural speech except world hit climate change gay right know many themethemes sort
CNN,The Lead With Jake Tapper,talk scientist climate change car talk road sensor talk stoplight traffic efficiency ambulance talk patient record talk doctor saving life
CNN,CNN Newsroom,becoming part global phenomenon call internet everything tree talk network talk scientist climate change car talk road sensor talk stoplight traffic efficiency
CNN,The Situation Room,rattling snowden similar approach taking congress end run around lawmaker pursuing new policy climate change need approval capitol hill challenge
CNN,New Day,three part plan deal climate change speech afternoon georgetown university number five might want hold caramel drizzle starting today starbucks post calorie count beverage
CNN,Your Money,drop much 5 cybersecurity top priority president obama historic meeting chinese president happened last week two agreed climate change agreement issue
CNN,CNN Newsroom,becoming part global phenomenon call internet everything tree talk network talk scientist climate change car talk road sensor talk stoplight traffic efficiency
CNN,CNN Newsroom,tree talk network talk scientist climate change car talk road sensor talk stoplight traffic efficiency ambulance talk patient record talk doctor saving life
